Date,Open,High,Low,Close,Volume
2023-01-13,38.82,39.23,37.89,38.34,605900
2023-01-17,38.3,38.9,37.78,38.5,949600
2023-01-18,38.51,38.76,37.2,37.31,766800
2023-01-19,36.17,36.81,34.58,36.19,1211300
2023-01-20,36.66,38.89,36.1,38.88,1521600
2023-01-23,39.12,41.02,38.69,40.32,1490200
2023-01-24,39.97,42.0,39.92,40.67,888500
2023-01-25,40.2,42.91,39.97,42.72,1933200
2023-01-26,42.89,43.49,38.47,40.23,2013700
2023-01-27,40.04,41.18,39.01,40.52,1430900
2023-01-30,39.48,40.51,39.25,39.4,1247000
2023-01-31,39.08,41.09,38.86,41.03,922300
2023-02-01,36.25,38.71,34.93,38.07,3398000
2023-02-02,38.2,44.03,38.2,43.94,2160100
2023-02-03,43.22,44.52,42.62,42.79,1126700
2023-02-06,41.99,41.99,40.24,40.64,830300
2023-02-07,40.67,41.94,40.44,41.69,728800
2023-02-08,41.68,42.1,41.16,41.72,573500
2023-02-09,42.1,42.12,40.89,40.95,546200
2023-02-10,40.79,41.09,40.11,40.68,426600
2023-02-13,40.27,41.6,39.89,41.58,468000
2023-02-14,41.48,41.8,40.27,41.19,706000
2023-02-15,40.5,41.81,40.5,41.79,640100
2023-02-16,41.17,41.87,40.51,41.08,554600
2023-02-17,40.83,41.15,39.87,40.52,634400
2023-02-21,39.71,40.9,38.95,38.96,631900
2023-02-22,39.7,40.53,38.93,40.23,723100
2023-02-23,41.05,41.49,38.89,40.32,566700
2023-02-24,40.16,40.16,38.79,39.64,589400
2023-02-27,40.17,41.19,39.64,40.98,716500
2023-02-28,40.99,41.59,40.97,41.07,513100
2023-03-01,40.87,41.57,40.7,40.93,461800
2023-03-02,40.21,40.89,39.64,40.3,697800
2023-03-03,41.06,41.21,40.27,40.62,768500
2023-03-06,40.5,40.99,37.92,38.39,832000
2023-03-07,38.24,38.65,37.32,37.54,616300
2023-03-08,37.55,38.16,36.98,37.57,421700
2023-03-09,37.48,37.9,35.35,35.42,685800
2023-03-10,35.16,35.65,33.81,34.91,1050000
2023-03-13,33.54,33.65,31.67,31.95,1551700
2023-03-14,34.15,35.1,32.7,32.97,1402100
2023-03-15,31.05,31.62,29.94,31.02,1156800
2023-03-16,30.52,32.06,29.22,31.46,856300
2023-03-17,30.15,30.7,29.13,29.38,1759000
2023-03-20,29.86,30.91,28.91,29.11,949600
2023-03-21,30.62,31.28,30.05,30.23,1122800
2023-03-22,30.33,30.64,29.4,29.43,840700
2023-03-23,29.52,29.81,27.73,27.94,884600
2023-03-24,27.19,27.87,26.66,27.76,1081300
2023-03-27,28.61,29.08,28.22,28.9,683200
2023-03-28,28.95,29.21,28.26,28.52,453800
2023-03-29,29.1,29.52,28.89,29.39,372800
2023-03-30,29.8,29.96,29.06,29.56,536200
2023-03-31,29.76,30.35,29.33,30.32,807000
2023-04-03,30.5,30.96,29.98,30.28,759000
2023-04-04,30.67,30.67,28.96,29.66,1095300
2023-04-05,28.9,29.23,28.46,28.92,625600
2023-04-06,28.84,28.84,26.21,27.0,1768300
2023-04-10,26.96,28.38,26.84,27.53,970000
2023-04-11,27.46,28.3,27.14,28.14,1130700
2023-04-12,28.62,28.66,27.1,27.28,652100
2023-04-13,27.32,27.93,26.9,27.66,445000
2023-04-14,28.0,28.66,27.23,27.71,468100
2023-04-17,27.79,27.98,27.23,27.85,679000
2023-04-18,27.83,27.93,27.19,27.69,412400
2023-04-19,27.56,28.54,27.39,28.39,551500
2023-04-20,27.97,28.22,27.5,28.22,647800
2023-04-21,28.43,28.43,27.7,28.18,641100
2023-04-24,28.17,28.43,27.73,28.01,484200
2023-04-25,27.53,27.59,26.94,27.01,427200
2023-04-26,26.95,27.71,26.48,26.76,831600
2023-04-27,26.99,27.51,25.71,27.3,1100700
2023-04-28,27.35,29.24,27.18,27.6,1269200
2023-05-01,27.51,27.9,26.75,26.85,863300
2023-05-02,26.51,26.72,24.25,24.89,921900
2023-05-03,24.81,25.7,24.68,24.81,733600
2023-05-04,24.35,24.54,23.19,23.7,1063700
2023-05-05,24.43,25.17,24.39,24.94,672600
2023-05-08,25.14,25.45,24.87,25.14,759200
2023-05-09,25.51,26.52,25.19,26.23,750700
2023-05-10,26.76,26.87,25.59,26.03,560500
2023-05-11,25.52,26.38,25.41,26.36,526500
2023-05-12,26.87,26.97,26.21,26.7,576600
2023-05-15,26.94,28.4,26.94,27.71,1262300
2023-05-16,27.45,28.27,27.4,27.73,626900
2023-05-17,28.48,30.22,28.47,29.84,744700
2023-05-18,29.84,30.8,29.64,30.52,455300
2023-05-19,30.83,31.4,29.7,30.04,513900
2023-05-22,30.7,30.93,30.27,30.49,538700
2023-05-23,30.61,31.36,30.32,30.39,407200
2023-05-24,29.93,30.04,29.2,29.52,412800
2023-05-25,29.38,29.77,28.8,29.13,394200
2023-05-26,29.28,29.93,28.87,29.71,539000
2023-05-30,29.81,30.14,28.92,29.34,476600
2023-05-31,28.83,29.44,27.73,28.18,1714600
2023-06-01,28.4,29.17,28.18,28.73,895800
2023-06-02,29.55,31.05,29.39,30.89,704100
2023-06-05,30.77,30.86,29.39,30.16,444100
2023-06-06,29.88,31.83,29.52,31.5,523000
2023-06-07,32.0,32.92,31.95,32.71,390800
2023-06-08,30.75,31.09,29.24,30.74,4588000
2023-06-09,30.88,30.91,30.0,30.25,3976600
2023-06-12,29.98,30.8,29.72,30.64,1681600
2023-06-13,30.5,32.0,30.3,31.88,1230300
2023-06-14,31.88,32.1,30.19,30.71,1100000
2023-06-15,30.35,31.12,29.88,30.95,969900
2023-06-16,31.32,31.39,30.3,30.74,1412600
2023-06-20,30.5,30.74,29.56,30.21,1612400
2023-06-21,30.24,30.44,29.68,30.14,835300
2023-06-22,29.93,30.22,29.17,29.7,982600
2023-06-23,29.12,29.75,28.77,29.45,820100
2023-06-26,29.45,30.18,29.45,29.66,693300
2023-06-27,29.67,30.57,29.28,30.29,670300
2023-06-28,29.97,30.07,29.42,29.94,695300
2023-06-29,30.02,30.93,30.02,30.87,579700
2023-06-30,31.45,31.85,30.69,31.39,1320600
2023-07-03,31.44,32.25,31.44,31.81,564500
2023-07-05,31.51,32.22,31.11,31.65,1695800
2023-07-06,31.16,31.53,30.43,31.17,1988600
2023-07-07,31.44,31.87,31.12,31.46,1546700
2023-07-10,31.68,33.38,31.56,33.24,2126600
2023-07-11,33.45,34.26,33.13,34.15,995000
2023-07-12,35.12,35.29,34.57,34.77,685200
2023-07-13,35.19,36.19,34.84,36.17,1057200
2023-07-14,36.27,36.28,34.4,34.85,619600
2023-07-17,34.5,35.44,34.24,35.09,452500
2023-07-18,35.42,36.85,35.4,36.84,1419800
2023-07-19,37.15,37.63,36.56,37.39,778200
2023-07-20,37.01,37.07,36.17,36.78,871100
2023-07-21,36.96,37.03,35.95,36.53,735300
2023-07-24,36.73,37.47,36.58,37.3,490900
2023-07-25,37.42,37.57,36.77,36.87,928500
2023-07-26,36.56,37.48,36.37,36.39,1066900
2023-07-27,38.85,39.89,37.41,39.4,1710500
2023-07-28,40.35,41.07,39.57,40.75,867300
2023-07-31,41.15,41.89,40.5,41.57,1102100
2023-08-01,41.45,41.45,40.36,40.55,950900
