Date,Open,High,Low,Close,Volume
2023-01-13,54.68,55.66,54.61,55.2,296000
2023-01-17,55.0,56.87,54.91,56.63,281200
2023-01-18,56.87,57.45,56.38,56.75,357500
2023-01-19,56.66,57.66,56.34,57.08,268500
2023-01-20,57.27,57.99,56.64,57.82,273700
2023-01-23,57.82,58.29,57.38,58.13,162200
2023-01-24,57.94,58.88,57.43,58.54,272200
2023-01-25,58.11,58.77,57.22,58.66,288700
2023-01-26,59.26,60.9,59.19,60.9,288900
2023-01-27,62.0,64.43,61.6,63.19,380600
2023-01-30,62.83,63.78,62.55,62.68,303100
2023-01-31,59.08,62.92,55.8,62.23,393800
2023-02-01,61.86,63.77,61.16,63.43,344100
2023-02-02,63.48,66.51,63.43,65.97,483800
2023-02-03,65.16,66.89,64.45,64.64,447300
2023-02-06,63.98,64.97,63.49,63.63,342100
2023-02-07,63.33,65.0,62.76,64.69,397800
2023-02-08,64.47,65.24,64.2,64.5,288200
2023-02-09,64.93,65.08,63.78,64.22,317900
2023-02-10,63.8,64.28,63.32,63.97,240500
2023-02-13,64.33,64.79,63.96,64.11,287900
2023-02-14,63.76,64.16,62.99,63.53,212000
2023-02-15,62.73,63.67,62.42,63.52,239800
2023-02-16,62.87,63.44,62.55,62.84,251300
2023-02-17,62.59,62.87,62.1,62.33,265200
2023-02-21,61.64,62.04,61.02,61.64,351600
2023-02-22,61.89,62.1,60.24,60.89,348100
2023-02-23,60.9,61.18,59.53,59.75,198800
2023-02-24,59.16,60.07,58.6,59.75,266100
2023-02-27,60.04,60.38,59.15,59.7,202700
2023-02-28,59.34,59.64,58.75,58.88,397200
2023-03-01,58.84,59.2,58.36,58.85,277300
2023-03-02,58.67,58.97,58.1,58.95,195400
2023-03-03,59.17,59.73,58.71,59.21,191900
2023-03-06,59.08,59.71,58.41,58.78,183400
2023-03-07,58.65,58.77,57.75,58.1,205600
2023-03-08,58.01,58.19,57.3,57.85,278700
2023-03-09,57.81,58.15,56.74,56.8,184300
2023-03-10,56.56,56.56,54.68,55.48,302800
2023-03-13,55.05,55.38,54.17,54.34,320400
2023-03-14,55.27,55.54,54.6,55.15,281000
2023-03-15,54.57,54.64,53.84,54.59,284800
2023-03-16,54.04,55.49,53.7,55.44,273600
2023-03-17,55.5,55.92,54.69,54.75,420600
2023-03-20,54.85,56.11,54.8,56.01,206100
2023-03-21,56.37,57.05,55.52,56.02,294200
2023-03-22,56.11,56.93,54.7,54.76,187300
2023-03-23,55.01,55.91,54.63,54.99,220700
2023-03-24,54.8,56.11,54.24,54.91,169500
2023-03-27,55.05,55.73,54.59,55.65,166800
2023-03-28,55.36,55.68,55.16,55.33,121600
2023-03-29,55.64,55.91,55.17,55.67,175700
2023-03-30,55.86,56.7,54.91,55.48,155900
2023-03-31,55.76,56.82,55.48,56.74,211500
2023-04-03,56.62,57.13,55.76,56.89,271900
2023-04-04,56.86,57.13,56.48,56.98,298400
2023-04-05,56.98,57.52,56.37,57.29,278000
2023-04-06,57.25,58.45,56.5,58.45,303600
2023-04-10,58.14,59.45,57.91,59.38,323600
2023-04-11,59.36,60.18,58.12,59.74,288900
2023-04-12,60.17,61.59,60.05,60.92,373500
2023-04-13,61.06,61.83,60.82,61.43,519200
2023-04-14,61.38,61.85,60.82,61.12,239500
2023-04-17,61.16,61.36,60.19,61.02,234300
2023-04-18,61.26,61.31,60.06,60.16,362800
2023-04-19,59.98,60.2,58.85,58.91,243500
2023-04-20,58.59,59.11,57.97,58.2,367900
2023-04-21,58.29,58.7,58.06,58.14,241600
2023-04-24,57.83,58.4,57.37,58.35,210300
2023-04-25,57.91,58.48,57.08,58.08,323200
2023-04-26,57.85,58.45,56.76,57.44,267700
2023-04-27,57.64,58.38,57.46,58.2,189200
2023-04-28,57.85,58.9,57.85,58.27,297200
2023-05-01,57.94,59.14,57.9,58.35,339200
2023-05-02,60.52,62.0,58.67,61.45,422800
2023-05-03,61.87,63.56,61.15,61.24,503900
2023-05-04,60.83,61.83,60.43,60.85,312100
2023-05-05,61.34,61.88,60.83,61.15,339100
2023-05-08,61.05,62.31,60.96,61.68,338600
2023-05-09,61.75,62.3,61.36,61.91,387800
2023-05-10,62.47,63.2,62.47,62.88,397400
2023-05-11,62.82,63.17,61.82,62.23,603800
2023-05-12,62.33,63.23,62.21,62.95,287900
2023-05-15,62.92,63.58,62.64,63.27,241900
2023-05-16,62.85,63.6,62.43,63.36,413100
2023-05-17,63.27,64.41,63.0,64.31,498000
2023-05-18,64.28,65.51,64.0,65.46,510100
2023-05-19,66.0,66.0,65.27,65.63,324600
2023-05-22,65.5,67.52,65.42,67.22,543100
2023-05-23,66.83,67.81,66.67,66.91,440600
2023-05-24,66.58,67.49,66.5,67.18,379600
2023-05-25,67.26,68.68,67.09,68.65,408100
2023-05-26,68.57,70.07,68.21,69.48,491300
2023-05-30,69.78,69.87,69.33,69.4,278000
2023-05-31,69.02,69.99,68.88,69.69,1040800
2023-06-01,69.27,69.98,69.15,69.67,213400
2023-06-02,69.99,71.66,69.2,71.44,482400
2023-06-05,70.85,71.23,69.57,71.03,393800
2023-06-06,71.1,71.96,71.02,71.53,630900
2023-06-07,71.29,72.44,70.88,71.38,659000
2023-06-08,71.27,71.66,70.67,71.14,288100
2023-06-09,71.04,71.82,70.78,70.98,653200
2023-06-12,70.94,71.23,70.58,71.03,280500
2023-06-13,71.44,71.69,70.36,70.77,462600
2023-06-14,70.37,71.46,70.1,70.52,420100
2023-06-15,70.1,71.13,69.97,70.93,352500
2023-06-16,71.67,72.1,70.68,72.08,987000
2023-06-20,71.75,72.38,71.31,71.68,346100
2023-06-21,71.39,71.39,70.48,71.01,284500
2023-06-22,70.94,71.76,70.58,71.76,313900
2023-06-23,71.36,72.15,71.24,71.35,756500
2023-06-26,71.2,71.55,69.94,69.97,266900
2023-06-27,70.21,70.67,69.63,70.39,181400
2023-06-28,70.35,71.93,69.81,71.91,279200
2023-06-29,72.04,72.9,71.61,72.44,227500
2023-06-30,72.83,73.24,72.61,72.62,426000
2023-07-03,72.65,73.08,72.44,72.44,159900
2023-07-05,72.09,72.46,71.64,72.17,248900
2023-07-06,71.72,72.2,71.25,72.03,186900
2023-07-07,71.94,72.77,71.83,72.32,229600
2023-07-10,72.36,74.21,72.36,74.21,319800
2023-07-11,74.32,74.95,73.86,74.78,247300
2023-07-12,75.41,75.86,74.6,74.82,205700
2023-07-13,75.01,75.52,74.63,75.42,248900
2023-07-14,75.44,75.9,75.28,75.78,191800
2023-07-17,75.57,76.87,75.57,76.35,213900
2023-07-18,76.26,76.86,75.64,76.85,213900
2023-07-19,77.0,77.52,76.5,76.65,196800
2023-07-20,76.8,77.02,75.72,75.96,163800
2023-07-21,76.41,76.99,75.26,75.41,232600
2023-07-24,75.61,75.76,75.01,75.43,165800
2023-07-25,75.41,76.75,75.41,76.35,249400
2023-07-26,76.22,77.0,76.2,76.76,205500
2023-07-27,77.23,77.89,76.72,77.35,241900
2023-07-28,77.58,78.27,77.43,77.89,267300
2023-07-31,77.91,78.8,77.53,77.93,381700
2023-08-01,74.53,75.5,71.33,73.4,535900
2023-08-02,73.09,73.25,70.39,70.48,420600
2023-08-03,70.34,71.48,69.88,71.41,381800
2023-08-04,71.58,71.86,70.78,70.95,230400
2023-08-07,71.44,71.54,70.5,71.2,216000
2023-08-08,70.56,70.56,68.5,68.85,225500
2023-08-09,68.79,69.06,68.24,68.28,264600
2023-08-10,68.45,69.55,68.33,69.39,242000
2023-08-11,69.44,70.22,69.1,69.69,200800
2023-08-14,69.61,70.57,69.39,70.24,236800
2023-08-15,69.88,70.05,68.69,68.81,349700
2023-08-16,68.66,69.43,68.36,68.94,312000
2023-08-17,69.22,70.26,68.94,69.42,294800
2023-08-18,69.0,69.55,68.74,68.94,621400
2023-08-21,68.94,69.75,68.3,68.35,205300
2023-08-22,68.5,69.33,68.05,68.51,458000
2023-08-23,68.89,69.68,68.63,69.53,246800
2023-08-24,69.44,69.77,67.91,67.91,215200
2023-08-25,67.98,68.74,67.5,68.24,229900
2023-08-28,68.32,69.13,68.16,68.41,181300
2023-08-29,68.27,69.11,68.26,68.82,220500
2023-08-30,68.56,69.25,68.38,68.9,188100
2023-08-31,68.9,69.61,68.26,68.31,300300
2023-09-01,68.69,69.05,68.06,68.24,172300
2023-09-05,67.72,68.19,66.96,67.79,240300
2023-09-06,67.98,68.4,67.45,67.68,178200
2023-09-07,67.69,67.92,67.28,67.56,188300
2023-09-08,67.73,68.29,67.66,68.08,154100
2023-09-11,68.5,68.72,67.96,68.58,178200
2023-09-12,68.18,68.62,67.96,68.16,140700
2023-09-13,68.15,68.63,67.8,68.55,203400
2023-09-14,68.75,69.34,68.59,68.8,197900
2023-09-15,68.81,68.81,67.47,67.73,509300
2023-09-18,67.73,68.46,67.38,67.99,174700
2023-09-19,68.02,68.61,67.6,68.43,163700
2023-09-20,68.49,69.2,68.49,68.6,204800
2023-09-21,68.26,68.69,67.64,67.66,256800
2023-09-22,67.82,68.82,67.82,68.09,177400
2023-09-25,67.78,69.29,67.78,69.22,177400
2023-09-26,69.0,69.39,67.56,67.76,168000
2023-09-27,67.97,68.52,67.41,68.09,190000
